# Tetrahedron method
        0.5500000000        0.0227400021        0.0227400037        0.0266853909        0.0266853909        0.0220233570        0.0220233570
        0.5600000000        0.0237268729        0.0237268744        0.0278206672        0.0278206672        0.0229480146        0.0229480146
        0.5700000000        0.0246679707        0.0246679718        0.0289028840        0.0289028840        0.0238289735        0.0238289735
        0.5800000000        0.0255755900        0.0255755908        0.0299454072        0.0299454072        0.0246771457        0.0246771457
        0.5900000000        0.0264570190        0.0264570197        0.0309554585        0.0309554585        0.0254976127        0.0254976127
        0.6000000000        0.0273705911        0.0273705918        0.0320005006        0.0320005006        0.0263448398        0.0263448398
        0.6100000000        0.0283197277        0.0283197286        0.0330857140        0.0330857140        0.0272237150        0.0272237150
        0.6200000000        0.0292974746        0.0292974757        0.0342025584        0.0342025584        0.0281280537        0.0281280537
        0.6300000000        0.0302732265        0.0302732281        0.0353127877        0.0353127877        0.0290248280        0.0290248280
        0.6400000000        0.0313537936        0.0313537954        0.0365369041        0.0365369041        0.0300117390        0.0300117390
        0.6500000000        0.0324867671        0.0324867675        0.0378220561        0.0378220561        0.0310483744        0.0310483744
        0.6600000000        0.0336430890        0.0336430884        0.0391312112        0.0391312112        0.0321022976        0.0321022976
        0.6700000000        0.0347951240        0.0347951227        0.0404297459        0.0404297459        0.0331449294        0.0331449294
        0.6800000000        0.0359369557        0.0359369540        0.0417106494        0.0417106494        0.0341702012        0.0341702012
        0.6900000000        0.0370931812        0.0370931794        0.0430040905        0.0430040905        0.0352032746        0.0352032746
        0.7000000000        0.0383042173        0.0383042157        0.0443580475        0.0443580475        0.0362834793        0.0362834793
        0.7100000000        0.0395326756        0.0395326742        0.0457297806        0.0457297806        0.0373773278        0.0373773278
        0.7200000000        0.0407355822        0.0407355809        0.0470681028        0.0470681028        0.0384428363        0.0384428363
        0.7300000000        0.0419048254        0.0419048256        0.0483650202        0.0483650202        0.0394732838        0.0394732838
        0.7400000000        0.0431363538        0.0431363567        0.0497289759        0.0497289759        0.0405561217        0.0405561217
        0.7500000000        0.0444304538        0.0444304592        0.0511604960        0.0511604960        0.0416910102        0.0416910102
        0.7600000000        0.0458062133        0.0458062195        0.0526770825        0.0526770825        0.0428930880        0.0428930880
        0.7700000000        0.0471794574        0.0471794620        0.0541857653        0.0541857653        0.0440867114        0.0440867114
        0.7800000000        0.0485477494        0.0485477529        0.0556840094        0.0556840094        0.0452689468        0.0452689468
        0.7900000000        0.0499465648        0.0499465676        0.0572114596        0.0572114596        0.0464706860        0.0464706860
        0.8000000000        0.0513666683        0.0513666708        0.0587567009        0.0587567009        0.0476832501        0.0476832501
        0.8100000000        0.0527848828        0.0527848855        0.0602906769        0.0602906769        0.0488835050        0.0488835050
        0.8200000000        0.0542352424        0.0542352457        0.0618529766        0.0618529766        0.0501029236        0.0501029236
        0.8300000000        0.0557692643        0.0557692688        0.0635036694        0.0635036694        0.0513911253        0.0513911253
        0.8400000000        0.0574532091        0.0574532137        0.0653133213        0.0653133213        0.0528033075        0.0528033075
        0.8500000000        0.0590939904        0.0590939912        0.0670640236        0.0670640236        0.0541638257        0.0541638257
        0.8600000000        0.0607536989        0.0607536968        0.0688246071        0.0688246071        0.0555289608        0.0555289608
        0.8700000000        0.0624277482        0.0624277440        0.0705911258        0.0705911258        0.0568947914        0.0568947914
        0.8800000000        0.0641247790        0.0641247735        0.0723702679        0.0723702679        0.0582636984        0.0582636984
        0.8900000000        0.0658401287        0.0658401228        0.0741556046        0.0741556046        0.0596308956        0.0596308956
        0.9000000000        0.0675604424        0.0675604364        0.0759292100        0.0759292100        0.0609837135        0.0609837135
        0.9100000000        0.0693254290        0.0693254228        0.0777386596        0.0777386596        0.0623623013        0.0623623013
        0.9200000000        0.0711293564        0.0711293496        0.0795737373        0.0795737373        0.0637547392        0.0637547392
        0.9300000000        0.0729509803        0.0729509744        0.0814058028        0.0814058028        0.0651351312        0.0651351312
        0.9400000000        0.0748705220        0.0748705183        0.0833088645        0.0833088645        0.0665600382        0.0665600382
        0.9500000000        0.0768174830        0.0768174815        0.0852052601        0.0852052601        0.0679689909        0.0679689909
        0.9600000000        0.0789062423        0.0789062422        0.0872161303        0.0872161303        0.0694568288        0.0694568288
        0.9700000000        0.0811153720        0.0811153845        0.0893084930        0.0893084930        0.0709911778        0.0709911778
        0.9800000000        0.0836276815        0.0836277998        0.0915778056        0.0915778056        0.0726201961        0.0726201961
        0.9900000000        0.0863169537        0.0863170793        0.0937880411        0.0937880411        0.0741436660        0.0741436660
        1.0000000000        0.0892065847        0.0892067786        0.0959771117        0.0959771117        0.0755956152        0.0755956152
        1.0100000000        0.0918837979        0.0918836320        0.0979304165        0.0979304165        0.0768727144        0.0768727144
        1.0200000000        0.0934305915        0.0934306863        0.0992225433        0.0992225433        0.0778033714        0.0778033714
